SOCCode	Dgroup	average_scale	tot_emp	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	Conscientiousness	85.618743619		All occ	90215.121865	3	All occupations	4	0
00-0000	Conscientiousness	94.821248549		All occ	105035.11854	0	All occupations	5	0
00-0000	Conscientiousness	92.071913766		All occ	71387.892227	1	All occupations	5	0
00-0000	Conscientiousness	89.818493435		All occ	100764.20444	2	All occupations	5	0
00-0000	Conscientiousness	85.856244294		All occ	67755.453171	3	All occupations	5	0
00-0000	Independence and practical intelligence	70.924160097		All occ	24699.437301	0	All occupations	1	0
00-0000	Independence and practical intelligence	62.909171826		All occ	20372.16716	1	All occupations	1	0
00-0000	Independence and practical intelligence	58.004752553		All occ	23282.922081	2	All occupations	1	0
00-0000	Independence and practical intelligence	52.187028685		All occ	19281.078468	3	All occupations	1	0
00-0000	Independence and practical intelligence	75.407729989		All occ	29229.678212	0	All occupations	2	0
00-0000	Independence and practical intelligence	71.278947312		All occ	31763.743273	1	All occupations	2	0
00-0000	Independence and practical intelligence	66.114039053		All occ	30389.906609	2	All occupations	2	0
00-0000	Independence and practical intelligence	57.761309618		All occ	27113.676171	3	All occupations	2	0
00-0000	Independence and practical intelligence	80.510582416		All occ	40893.735648	0	All occupations	3	0
00-0000	Independence and practical intelligence	77.452362753		All occ	45423.479251	1	All occupations	3	0
00-0000	Independence and practical intelligence	74.443857496		All occ	40712.111054	2	All occupations	3	0
00-0000	Independence and practical intelligence	69.230278371		All occ	43751.725517	3	All occupations	3	0
00-0000	Independence and practical intelligence	83.854956564		All occ	76612.86181	0	All occupations	4	0
00-0000	Independence and practical intelligence	80.976595295		All occ	63807.364584	1	All occupations	4	0
00-0000	Independence and practical intelligence	77.925457878		All occ	77537.443438	2	All occupations	4	0
00-0000	Independence and practical intelligence	74.326276927		All occ	63546.757798	3	All occupations	4	0
00-0000	Independence and practical intelligence	90.236559335		All occ	73121.473725	0	All occupations	5	0
00-0000	Independence and practical intelligence	86.020931631		All occ	101688.3805	1	All occupations	5	0
00-0000	Independence and practical intelligence	81.543766403		All occ	73155.716054	2	All occupations	5	0
00-0000	Independence and practical intelligence	76.341296131		All occ	93940.985431	3	All occupations	5	0
00-0000	Interpersonal orientation and social influence	77.377952672		All occ	20924.02226	0	All occupations	1	0
00-0000	Interpersonal orientation and social influence	72.777359315		All occ	20098.543293	1	All occupations	1	0
00-0000	Interpersonal orientation and social influence	69.129464401		All occ	19692.132363	2	All occupations	1	0
00-0000	Interpersonal orientation and social influence	59.964273728		All occ	21468.084393	3	All occupations	1	0
00-0000	Interpersonal orientation and social influence	81.031204974		All occ	28643.617544	0	All occupations	2	0
00-0000	Interpersonal orientation and social influence	74.594377271		All occ	31113.500143	1	All occupations	2	0
00-0000	Interpersonal orientation and social influence	69.061597123		All occ	29552.378257	2	All occupations	2	0
00-0000	Interpersonal orientation and social influence	63.156455897		All occ	29327.574145	3	All occupations	2	0
00-0000	Interpersonal orientation and social influence	85.175919035		All occ	39704.206063	0	All occupations	3	0
00-0000	Interpersonal orientation and social influence	79.181127593		All occ	43714.036773	1	All occupations	3	0
00-0000	Interpersonal orientation and social influence	72.502769814		All occ	46346.418488	2	All occupations	3	0
00-0000	Interpersonal orientation and social influence	66.06925853		All occ	41926.388704	3	All occupations	3	0
00-0000	Interpersonal orientation and social influence	88.516087137		All occ	58996.836635	0	All occupations	4	0
00-0000	Interpersonal orientation and social influence	79.578350324		All occ	87319.913208	1	All occupations	4	0
00-0000	Interpersonal orientation and social influence	72.97678596		All occ	69577.326722	2	All occupations	4	0
00-0000	Interpersonal orientation and social influence	67.049876551		All occ	75457.952954	3	All occupations	4	0
00-0000	Interpersonal orientation and social influence	89.301746751		All occ	79228.436275	0	All occupations	5	0
00-0000	Interpersonal orientation and social influence	83.628969188		All occ	99677.557359	1	All occupations	5	0
00-0000	Interpersonal orientation and social influence	77.806806818		All occ	104816.73076	2	All occupations	5	0
00-0000	Interpersonal orientation and social influence	67.653038666		All occ	70848.113034	3	All occupations	5	0
11-0000	Achievement orientation	83.67307718	6936990	Management	98560	0	Management		2
11-0000	Adjustment	84.67179491	6936990	Management	98560	0	Management		2
11-0000	Conscientiousness	90.315384743	6936990	Management	98560	1	Management		2
11-0000	Independence and practical intelligence	78.908974421	6936990	Management	98560	1	Management		2
11-0000	Interpersonal orientation and social influence	80.136538583	6936990	Management	98560	0	Management		2
11-1011	Achievement orientation	89.433333079	238940	Management	175110	0	Chief Executives	5	1
11-1011	Adjustment	85.933332443	238940	Management	175110	1	Chief Executives	5	1
11-1011	Conscientiousness	89.566666285	238940	Management	175110	2	Chief Executives	5	1
11-1011	Independence and practical intelligence	87.399999301	238940	Management	175110	1	Chief Executives	5	1
11-1011	Interpersonal orientation and social influence	82.724999189	238940	Management	175110	1	Chief Executives	5	1
11-1021	Achievement orientation	83.799997965	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Adjustment	84.866666794	2145140	Management	97730	1	General and Operations Managers	4	1
11-1021	Conscientiousness	87.266667684	2145140	Management	97730	3	General and Operations Managers	4	1
11-1021	Independence and practical intelligence	77.800002098	2145140	Management	97730	2	General and Operations Managers	4	1
11-1021	Interpersonal orientation and social influence	81.89999938	2145140	Management	97730	1	General and Operations Managers	4	1
11-2011	Achievement orientation	88.26666832	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Adjustment	88.999999364	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Conscientiousness	93.999996185	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Independence and practical intelligence	85	29340	Management	95890	0	Advertising and Promotions Managers	4	1
11-2011	Interpersonal orientation and social influence	82.750000954	29340	Management	95890	1	Advertising and Promotions Managers	4	1
11-2021	Achievement orientation	87.20000267	192890	Management	128750	0	Marketing Managers	4	1
11-2021	Adjustment	81.266667048	192890	Management	128750	2	Marketing Managers	4	1
11-2021	Conscientiousness	85.600001017	192890	Management	128750	3	Marketing Managers	4	1
11-2021	Independence and practical intelligence	80.200001399	192890	Management	128750	1	Marketing Managers	4	1
11-2021	Interpersonal orientation and social influence	78.099998236	192890	Management	128750	1	Marketing Managers	4	1
11-2022	Achievement orientation	89.533332189	364750	Management	113860	0	Sales Managers	4	1
11-2022	Adjustment	85.733331045	364750	Management	113860	1	Sales Managers	4	1
11-2022	Conscientiousness	88.933334351	364750	Management	113860	2	Sales Managers	4	1
11-2022	Independence and practical intelligence	77.800000509	364750	Management	113860	2	Sales Managers	4	1
11-2022	Interpersonal orientation and social influence	79.499999285	364750	Management	113860	1	Sales Managers	4	1
11-2031	Achievement orientation	86.933336258	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Adjustment	87.199999491	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Conscientiousness	91.733334859	60380	Management	104140	1	Public Relations and Fundraising Managers	4	1
11-2031	Independence and practical intelligence	83.399999936	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-2031	Interpersonal orientation and social influence	86.600000858	60380	Management	104140	0	Public Relations and Fundraising Managers	4	1
11-3011	Achievement orientation	76.133332253	270080	Management	86110	2	Administrative Services Managers	3	1
11-3011	Adjustment	85.533332825	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Conscientiousness	94.200000763	270080	Management	86110	0	Administrative Services Managers	3	1
11-3011	Independence and practical intelligence	76.799998283	270080	Management	86110	1	Administrative Services Managers	3	1
11-3011	Interpersonal orientation and social influence	80.950000286	270080	Management	86110	1	Administrative Services Managers	3	1
11-3021	Achievement orientation	75.86666743	341250	Management	131600	3	Computer and Information Systems Managers	4	1
11-3021	Adjustment	81.866666476	341250	Management	131600	2	Computer and Information Systems Managers	4	1
11-3021	Conscientiousness	92.800000509	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Independence and practical intelligence	82.666667302	341250	Management	131600	0	Computer and Information Systems Managers	4	1
11-3021	Interpersonal orientation and social influence	77.550001144	341250	Management	131600	1	Computer and Information Systems Managers	4	1
11-3031	Achievement orientation	87.40000248	531120	Management	117990	1	Financial Managers	5	1
11-3031	Adjustment	83.399998347	531120	Management	117990	1	Financial Managers	5	1
11-3031	Conscientiousness	93.333333333	531120	Management	117990	0	Financial Managers	5	1
11-3031	Independence and practical intelligence	77.166666985	531120	Management	117990	3	Financial Managers	5	1
11-3031	Interpersonal orientation and social influence	77.525000572	531120	Management	117990	2	Financial Managers	5	1
11-3051	Achievement orientation	84.933333	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Adjustment	85.583333969	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Conscientiousness	91.566666762	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Independence and practical intelligence	82.183332046	169390	Management	93940	1	Industrial Production Managers	4	1
11-3051	Interpersonal orientation and social influence	81.537499726	169390	Management	93940	1	Industrial Production Managers	4	1
11-3061	Achievement orientation	82.999998728	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Adjustment	85.333334605	72600	Management	108120	1	Purchasing Managers	4	1
11-3061	Conscientiousness	89.200000763	72600	Management	108120	2	Purchasing Managers	4	1
11-3061	Independence and practical intelligence	75.86666743	72600	Management	108120	3	Purchasing Managers	4	1
11-3061	Interpersonal orientation and social influence	74.299998283	72600	Management	108120	2	Purchasing Managers	4	1
11-3071	Achievement orientation	80.155555937	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Adjustment	80.844444169	109210	Management	86630	2	Transportation, Storage, and Distribution Managers	4	1
11-3071	Conscientiousness	86.199999915	109210	Management	86630	3	Transportation, Storage, and Distribution Managers	4	1
11-3071	Independence and practical intelligence	73.622221947	109210	Management	86630	3	Transportation, Storage, and Distribution Managers	4	1
11-3071	Interpersonal orientation and social influence	76.366666953	109210	Management	86630	1	Transportation, Storage, and Distribution Managers	4	1
11-3111	Achievement orientation	79.933333397	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Adjustment	81.93333149	15930	Management	111430	2	Compensation and Benefits Managers	4	1
11-3111	Conscientiousness	93.000001907	15930	Management	111430	0	Compensation and Benefits Managers	4	1
11-3111	Independence and practical intelligence	79.666666985	15930	Management	111430	1	Compensation and Benefits Managers	4	1
11-3111	Interpersonal orientation and social influence	76.85000062	15930	Management	111430	1	Compensation and Benefits Managers	4	1
11-3121	Achievement orientation	82.733332316	122780	Management	104440	1	Human Resources Managers	4	1
11-3121	Adjustment	89.066667557	122780	Management	104440	0	Human Resources Managers	4	1
11-3121	Conscientiousness	89.400002162	122780	Management	104440	2	Human Resources Managers	4	1
11-3121	Independence and practical intelligence	77.000001272	122780	Management	104440	2	Human Resources Managers	4	1
11-3121	Interpersonal orientation and social influence	86.600003242	122780	Management	104440	0	Human Resources Managers	4	1
11-3131	Achievement orientation	84.733333588	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Adjustment	86.666666667	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Conscientiousness	90.799999237	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Independence and practical intelligence	81.599998474	31430	Management	102640	1	Training and Development Managers	4	1
11-3131	Interpersonal orientation and social influence	85.650000572	31430	Management	102640	0	Training and Development Managers	4	1
11-9013	Achievement orientation	84.000000954	4370	Management	64170	1	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Adjustment	77.911110454	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Conscientiousness	87.888889313	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Independence and practical intelligence	81.488888529	4370	Management	64170	1	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9013	Interpersonal orientation and social influence	74.616667032	4370	Management	64170	2	Farmers, Ranchers, and Other Agricultural Managers	4	1
11-9021	Achievement orientation	82.933332125	239640	Management	87400	1	Construction Managers	4	1
11-9021	Adjustment	82.666664124	239640	Management	87400	1	Construction Managers	4	1
11-9021	Conscientiousness	88.533334732	239640	Management	87400	2	Construction Managers	4	1
11-9021	Independence and practical intelligence	71.733334859	239640	Management	87400	3	Construction Managers	4	1
11-9021	Interpersonal orientation and social influence	79.600001574	239640	Management	87400	1	Construction Managers	4	1
11-9031	Achievement orientation	82.600002289	46760	Management	45670	1	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Adjustment	93.866666158	46760	Management	45670	0	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Conscientiousness	94.266668955	46760	Management	45670	0	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Independence and practical intelligence	86.199998856	46760	Management	45670	0	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9031	Interpersonal orientation and social influence	92.000000477	46760	Management	45670	0	Education Administrators, Preschool and Childcare Center/Program	4	1
11-9032	Achievement orientation	89.266665777	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Adjustment	92.666664124	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9032	Conscientiousness	92.533334096	235110	Management	90410	1	Education Administrators, Elementary and Secondary School	5	1
11-9032	Independence and practical intelligence	84.133335749	235110	Management	90410	1	Education Administrators, Elementary and Secondary School	5	1
11-9032	Interpersonal orientation and social influence	91.449999809	235110	Management	90410	0	Education Administrators, Elementary and Secondary School	5	1
11-9033	Achievement orientation	85.400001208	135690	Management	88580	2	Education Administrators, Postsecondary	5	1
11-9033	Adjustment	84.333335559	135690	Management	88580	1	Education Administrators, Postsecondary	5	1
11-9033	Conscientiousness	89.933331807	135690	Management	88580	2	Education Administrators, Postsecondary	5	1
11-9033	Independence and practical intelligence	79.933333397	135690	Management	88580	3	Education Administrators, Postsecondary	5	1
11-9033	Interpersonal orientation and social influence	88.099999428	135690	Management	88580	0	Education Administrators, Postsecondary	5	1
11-9039	Achievement orientation	82.466669083	31880	Management	76930	2	Education Administrators, All Other	5	1
11-9039	Adjustment	81.966667175	31880	Management	76930	2	Education Administrators, All Other	5	1
11-9039	Conscientiousness	87.5	31880	Management	76930	3	Education Administrators, All Other	5	1
11-9039	Independence and practical intelligence	78.733333747	31880	Management	76930	3	Education Administrators, All Other	5	1
11-9039	Interpersonal orientation and social influence	82.75000155	31880	Management	76930	1	Education Administrators, All Other	5	1
11-9041	Achievement orientation	80.833332539	179770	Management	132800	3	Architectural and Engineering Managers	5	1
11-9041	Adjustment	83.933333556	179770	Management	132800	1	Architectural and Engineering Managers	5	1
11-9041	Conscientiousness	87.733333906	179770	Management	132800	2	Architectural and Engineering Managers	5	1
11-9041	Independence and practical intelligence	80.533333619	179770	Management	132800	2	Architectural and Engineering Managers	5	1
11-9041	Interpersonal orientation and social influence	75.900000334	179770	Management	132800	2	Architectural and Engineering Managers	5	1
11-9051	Achievement orientation	80.799999237	201370	Management	48690	1	Food Service Managers	3	1
11-9051	Adjustment	90.400002797	201370	Management	48690	0	Food Service Managers	3	1
11-9051	Conscientiousness	91.266667048	201370	Management	48690	1	Food Service Managers	3	1
11-9051	Independence and practical intelligence	72.933333715	201370	Management	48690	2	Food Service Managers	3	1
11-9051	Interpersonal orientation and social influence	88.550000191	201370	Management	48690	0	Food Service Managers	3	1
11-9061	Achievement orientation	83.0666701	8300	Management	70890	0	Funeral Service Managers	3	1
11-9061	Adjustment	91.933333079	8300	Management	70890	0	Funeral Service Managers	3	1
11-9061	Conscientiousness	96.399997075	8300	Management	70890	0	Funeral Service Managers	3	1
11-9061	Independence and practical intelligence	72.59999752	8300	Management	70890	3	Funeral Service Managers	3	1
11-9061	Interpersonal orientation and social influence	87.449998856	8300	Management	70890	0	Funeral Service Managers	3	1
11-9071	Achievement orientation	77.933332125	3950	Management	68380	2	Gaming Managers	3	1
11-9071	Adjustment	88.26666832	3950	Management	68380	0	Gaming Managers	3	1
11-9071	Conscientiousness	89.533332189	3950	Management	68380	1	Gaming Managers	3	1
11-9071	Independence and practical intelligence	76.066667239	3950	Management	68380	1	Gaming Managers	3	1
11-9071	Interpersonal orientation and social influence	83.900002241	3950	Management	68380	0	Gaming Managers	3	1
11-9081	Achievement orientation	79.266668955	35480	Management	49720	1	Lodging Managers	3	1
11-9081	Adjustment	86.200002035	35480	Management	49720	1	Lodging Managers	3	1
11-9081	Conscientiousness	87.600002289	35480	Management	49720	2	Lodging Managers	3	1
11-9081	Independence and practical intelligence	77.133334478	35480	Management	49720	1	Lodging Managers	3	1
11-9081	Interpersonal orientation and social influence	82.500001192	35480	Management	49720	0	Lodging Managers	3	1
11-9111	Achievement orientation	89.399998983	314950	Management	94500	0	Medical and Health Services Managers	5	1
11-9111	Adjustment	89.533332189	314950	Management	94500	0	Medical and Health Services Managers	5	1
11-9111	Conscientiousness	92.199999491	314950	Management	94500	1	Medical and Health Services Managers	5	1
11-9111	Independence and practical intelligence	84.400000572	314950	Management	94500	1	Medical and Health Services Managers	5	1
11-9111	Interpersonal orientation and social influence	87.099999189	314950	Management	94500	0	Medical and Health Services Managers	5	1
11-9121	Achievement orientation	81.644443406	53450	Management	120160	2	Natural Sciences Managers	4	1
11-9121	Adjustment	79.711111387	53450	Management	120160	2	Natural Sciences Managers	4	1
11-9121	Conscientiousness	89.97777621	53450	Management	120160	1	Natural Sciences Managers	4	1
11-9121	Independence and practical intelligence	76.911111938	53450	Management	120160	2	Natural Sciences Managers	4	1
11-9121	Interpersonal orientation and social influence	72.183334033	53450	Management	120160	2	Natural Sciences Managers	4	1
11-9131	Achievement orientation	81.000000636	14770	Management	70640	1	Postmasters and Mail Superintendents	3	1
11-9131	Adjustment	86.866668065	14770	Management	70640	1	Postmasters and Mail Superintendents	3	1
11-9131	Conscientiousness	86.600001653	14770	Management	70640	2	Postmasters and Mail Superintendents	3	1
11-9131	Independence and practical intelligence	68.866667747	14770	Management	70640	3	Postmasters and Mail Superintendents	3	1
11-9131	Interpersonal orientation and social influence	79.299999475	14770	Management	70640	1	Postmasters and Mail Superintendents	3	1
11-9141	Achievement orientation	84.600000381	174410	Management	55380	1	Property, Real Estate, and Community Association Managers	4	1
11-9141	Adjustment	86.866668065	174410	Management	55380	1	Property, Real Estate, and Community Association Managers	4	1
11-9141	Conscientiousness	92.533334096	174410	Management	55380	0	Property, Real Estate, and Community Association Managers	4	1
11-9141	Independence and practical intelligence	76.133333842	174410	Management	55380	3	Property, Real Estate, and Community Association Managers	4	1
11-9141	Interpersonal orientation and social influence	80.599999428	174410	Management	55380	1	Property, Real Estate, and Community Association Managers	4	1
11-9151	Achievement orientation	85.066668193	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9151	Adjustment	88.26666832	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9151	Conscientiousness	92.20000267	119770	Management	63530	1	Social and Community Service Managers	4	1
11-9151	Independence and practical intelligence	82.733332316	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9151	Interpersonal orientation and social influence	89.649999142	119770	Management	63530	0	Social and Community Service Managers	4	1
11-9161	Achievement orientation	84.733333588	9840	Management	67330	1	Emergency Management Directors	4	1
11-9161	Adjustment	88.866666158	9840	Management	67330	0	Emergency Management Directors	4	1
11-9161	Conscientiousness	92.533334096	9840	Management	67330	0	Emergency Management Directors	4	1
11-9161	Independence and practical intelligence	80.933334033	9840	Management	67330	1	Emergency Management Directors	4	1
11-9161	Interpersonal orientation and social influence	84.249998331	9840	Management	67330	0	Emergency Management Directors	4	1
11-9199	Achievement orientation	84.199999628	376440	Management	104850	1	Managers, All Other	4	1
11-9199	Adjustment	83.647619429	376440	Management	104850	1	Managers, All Other	4	1
11-9199	Conscientiousness	91.228570938	376440	Management	104850	1	Managers, All Other	4	1
11-9199	Independence and practical intelligence	77.02857131	376440	Management	104850	2	Managers, All Other	4	1
11-9199	Interpersonal orientation and social influence	75.492856843	376440	Management	104850	1	Managers, All Other	4	1
13-0000	Achievement orientation	81.327891188	7032560	Business and financial operations	65710	1	Business and financial operations		2
13-0000	Adjustment	81.853061631	7032560	Business and financial operations	65710	1	Business and financial operations		2
13-0000	Conscientiousness	90.58639442	7032560	Business and financial operations	65710	0	Business and financial operations		2
13-0000	Independence and practical intelligence	77.123809672	7032560	Business and financial operations	65710	1	Business and financial operations		2
13-0000	Interpersonal orientation and social influence	74.961224551	7032560	Business and financial operations	65710	1	Business and financial operations		2
13-1011	Achievement orientation	90.799999237	13230	Business and financial operations	62940	0	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Adjustment	87.333332698	13230	Business and financial operations	62940	0	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Conscientiousness	89.066667557	13230	Business and financial operations	62940	2	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Independence and practical intelligence	80.733334223	13230	Business and financial operations	62940	1	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1011	Interpersonal orientation and social influence	83.400000334	13230	Business and financial operations	62940	0	Agents and Business Managers of Artists, Performers, and Athletes	4	1
13-1021	Achievement orientation	80.600002607	12160	Business and financial operations	56270	2	Buyers and Purchasing Agents, Farm Products	4	1
13-1021	Adjustment	82.666665713	12160	Business and financial operations	56270	1	Buyers and Purchasing Agents, Farm Products	4	1
13-1021	Conscientiousness	92.000001272	12160	Business and financial operations	56270	1	Buyers and Purchasing Agents, Farm Products	4	1
13-1021	Independence and practical intelligence	73.666666349	12160	Business and financial operations	56270	3	Buyers and Purchasing Agents, Farm Products	4	1
13-1021	Interpersonal orientation and social influence	75.499999523	12160	Business and financial operations	56270	1	Buyers and Purchasing Agents, Farm Products	4	1
13-1022	Achievement orientation	78.466668129	111200	Business and financial operations	52940	2	Wholesale and Retail Buyers, Except Farm Products	3	1
13-1022	Adjustment	81.666666667	111200	Business and financial operations	52940	2	Wholesale and Retail Buyers, Except Farm Products	3	1
13-1022	Conscientiousness	84.600000381	111200	Business and financial operations	52940	3	Wholesale and Retail Buyers, Except Farm Products	3	1
13-1022	Independence and practical intelligence	75.066665014	111200	Business and financial operations	52940	2	Wholesale and Retail Buyers, Except Farm Products	3	1
13-1022	Interpersonal orientation and social influence	77.999999523	111200	Business and financial operations	52940	1	Wholesale and Retail Buyers, Except Farm Products	3	1
13-1023	Achievement orientation	83.666667938	291540	Business and financial operations	62220	1	Purchasing Agents, Except Wholesale, Retail, and Farm Products	4	1
13-1023	Adjustment	81.000000636	291540	Business and financial operations	62220	2	Purchasing Agents, Except Wholesale, Retail, and Farm Products	4	1
13-1023	Conscientiousness	90.666666031	291540	Business and financial operations	62220	1	Purchasing Agents, Except Wholesale, Retail, and Farm Products	4	1
13-1023	Independence and practical intelligence	76.333333651	291540	Business and financial operations	62220	2	Purchasing Agents, Except Wholesale, Retail, and Farm Products	4	1
13-1023	Interpersonal orientation and social influence	73.999998569	291540	Business and financial operations	62220	2	Purchasing Agents, Except Wholesale, Retail, and Farm Products	4	1
13-1031	Achievement orientation	81.466666857	271600	Business and financial operations	62980	2	Claims Adjusters, Examiners, and Investigators	4	1
13-1031	Adjustment	87.033333778	271600	Business and financial operations	62980	0	Claims Adjusters, Examiners, and Investigators	4	1
13-1031	Conscientiousness	92.566666603	271600	Business and financial operations	62980	0	Claims Adjusters, Examiners, and Investigators	4	1
13-1031	Independence and practical intelligence	76.466666063	271600	Business and financial operations	62980	2	Claims Adjusters, Examiners, and Investigators	4	1
