SOCCode	Element_ID	Element_Name	average_scale	TOT_EMP	major_occ	annual_earnings	scale_rank	SOCTitle	jobzone	type
00-0000	2.A.1.c	Writing	40.886565546		All occ	19698.329453	1	All occupations	1	0
00-0000	2.A.1.c	Writing	35.620428841		All occ	19495.115609	2	All occupations	1	0
00-0000	2.A.1.c	Writing	28.254515685		All occ	21555.461545	3	All occupations	1	0
00-0000	2.A.1.c	Writing	51.946879572		All occ	30346.248951	0	All occupations	2	0
00-0000	2.A.1.c	Writing	45.655460901		All occ	29044.532964	1	All occupations	2	0
00-0000	2.A.1.c	Writing	40.257101933		All occ	29549.293647	2	All occupations	2	0
00-0000	2.A.1.c	Writing	32.992379222		All occ	27780.147486	3	All occupations	2	0
00-0000	2.A.1.c	Writing	61.861847915		All occ	47688.067598	0	All occupations	3	0
00-0000	2.A.1.c	Writing	54.241101727		All occ	41271.196898	1	All occupations	3	0
00-0000	2.A.1.c	Writing	49.589444234		All occ	38006.418118	2	All occupations	3	0
00-0000	2.A.1.c	Writing	42.617108587		All occ	41020.866424	3	All occupations	3	0
00-0000	2.A.1.c	Writing	68.271369774		All occ	74299.463638	0	All occupations	4	0
00-0000	2.A.1.c	Writing	63.719034703		All occ	68345.091892	1	All occupations	4	0
00-0000	2.A.1.c	Writing	61.470486953		All occ	65809.976396	2	All occupations	4	0
00-0000	2.A.1.c	Writing	56.498161281		All occ	76162.823842	3	All occupations	4	0
00-0000	2.A.1.c	Writing	75.489973183		All occ	77789.101295	0	All occupations	5	0
00-0000	2.A.1.c	Writing	71.979995033		All occ	102088.99356	1	All occupations	5	0
00-0000	2.A.1.c	Writing	67.500496201		All occ	79871.71224	2	All occupations	5	0
00-0000	2.A.1.c	Writing	63.865660419		All occ	91016.250519	3	All occupations	5	0
00-0000	2.A.1.d	Speaking	50.306012823		All occ	20041.30464	0	All occupations	1	0
00-0000	2.A.1.d	Speaking	47.850410426		All occ	19412.294771	1	All occupations	1	0
00-0000	2.A.1.d	Speaking	43.843648878		All occ	22447.354934	2	All occupations	1	0
00-0000	2.A.1.d	Speaking	39.865219493		All occ	21931.77032	3	All occupations	1	0
00-0000	2.A.1.d	Speaking	59.182774372		All occ	29593.939744	0	All occupations	2	0
00-0000	2.A.1.d	Speaking	50.728519172		All occ	31480.164044	1	All occupations	2	0
00-0000	2.A.1.d	Speaking	47.205299831		All occ	29571.673945	2	All occupations	2	0
00-0000	2.A.1.d	Speaking	41.276662479		All occ	26311.667381	3	All occupations	2	0
00-0000	2.A.1.d	Speaking	65.568685409		All occ	44135.468867	0	All occupations	3	0
00-0000	2.A.1.d	Speaking	60.354583142		All occ	42945.502306	1	All occupations	3	0
00-0000	2.A.1.d	Speaking	55.626148376		All occ	39076.906369	2	All occupations	3	0
00-0000	2.A.1.d	Speaking	49.197590147		All occ	41077.002862	3	All occupations	3	0
00-0000	2.A.1.d	Speaking	69.305361755		All occ	66996.249872	0	All occupations	4	0
00-0000	2.A.1.d	Speaking	67.136093382		All occ	71843.580889	1	All occupations	4	0
00-0000	2.A.1.d	Speaking	64.106923796		All occ	72893.712139	2	All occupations	4	0
00-0000	2.A.1.d	Speaking	60.021020945		All occ	72053.623224	3	All occupations	4	0
00-0000	2.A.1.d	Speaking	78.342922087		All occ	91339.144224	0	All occupations	5	0
00-0000	2.A.1.d	Speaking	72.58113395		All occ	80698.536527	1	All occupations	5	0
00-0000	2.A.1.d	Speaking	68.526075121		All occ	102089.57466	2	All occupations	5	0
00-0000	2.A.1.d	Speaking	64.767870953		All occ	78435.716822	3	All occupations	5	0
00-0000	2.A.1.e	Mathematics	41.643142358		All occ	19763.65402	0	All occupations	1	0
00-0000	2.A.1.e	Mathematics	32.892244448		All occ	20904.811425	1	All occupations	1	0
00-0000	2.A.1.e	Mathematics	27.638025711		All occ	19635.370011	2	All occupations	1	0
00-0000	2.A.1.e	Mathematics	19.547553055		All occ	23022.258188	3	All occupations	1	0
00-0000	2.A.1.e	Mathematics	46.958388009		All occ	34009.011962	0	All occupations	2	0
00-0000	2.A.1.e	Mathematics	38.025847861		All occ	28475.727831	1	All occupations	2	0
00-0000	2.A.1.e	Mathematics	33.432284893		All occ	29788.764872	2	All occupations	2	0
00-0000	2.A.1.e	Mathematics	18.980076148		All occ	26386.723338	3	All occupations	2	0
00-0000	2.A.1.e	Mathematics	52.354325439		All occ	47596.962807	0	All occupations	3	0
00-0000	2.A.1.e	Mathematics	44.539041485		All occ	46583.987876	1	All occupations	3	0
00-0000	2.A.1.e	Mathematics	37.182674191		All occ	40215.37344	2	All occupations	3	0
00-0000	2.A.1.e	Mathematics	30.695058577		All occ	37221.162329	3	All occupations	3	0
00-0000	2.A.1.e	Mathematics	63.90890472		All occ	75917.923074	0	All occupations	4	0
00-0000	2.A.1.e	Mathematics	52.900925536		All occ	75927.015081	1	All occupations	4	0
00-0000	2.A.1.e	Mathematics	46.932684868		All occ	70459.326934	2	All occupations	4	0
00-0000	2.A.1.e	Mathematics	37.474161476		All occ	63039.106088	3	All occupations	4	0
00-0000	2.A.1.e	Mathematics	62.22642038		All occ	101639.62428	0	All occupations	5	0
00-0000	2.A.1.e	Mathematics	52.325183253		All occ	109099.69561	1	All occupations	5	0
00-0000	2.A.1.e	Mathematics	44.018849819		All occ	86636.695608	2	All occupations	5	0
00-0000	2.A.1.e	Mathematics	35.007607893		All occ	71312.105755	3	All occupations	5	0
00-0000	2.A.1.f	Science	19.515715039		All occ	23698.104057	0	All occupations	1	0
00-0000	2.A.1.f	Science	9.4865881059		All occ	23324.363377	1	All occupations	1	0
00-0000	2.A.1.f	Science	6.1967733539		All occ	28357.098516	2	All occupations	1	0
00-0000	2.A.1.f	Science	0		All occ	19659.821498	3	All occupations	1	0
00-0000	2.A.1.f	Science	25.038656016		All occ	35210.158025	0	All occupations	2	0
00-0000	2.A.1.f	Science	16.492113533		All occ	29757.421025	1	All occupations	2	0
00-0000	2.A.1.f	Science	7.3599763604		All occ	29632.270306	2	All occupations	2	0
00-0000	2.A.1.f	Science	0.144390502		All occ	27480.465975	3	All occupations	2	0
00-0000	2.A.1.f	Science	45.627896949		All occ	47605.206793	0	All occupations	3	0
00-0000	2.A.1.f	Science	31.944139367		All occ	47066.849367	1	All occupations	3	0
00-0000	2.A.1.f	Science	20.82595034		All occ	39843.984591	2	All occupations	3	0
00-0000	2.A.1.f	Science	7.7070412142		All occ	39811.01153	3	All occupations	3	0
00-0000	2.A.1.f	Science	54.828707179		All occ	75796.203025	0	All occupations	4	0
00-0000	2.A.1.f	Science	35.52767676		All occ	70857.798976	1	All occupations	4	0
00-0000	2.A.1.f	Science	23.065706717		All occ	79482.664263	2	All occupations	4	0
00-0000	2.A.1.f	Science	11.649822553		All occ	58280.497358	3	All occupations	4	0
00-0000	2.A.1.f	Science	71.186868146		All occ	103458.04135	0	All occupations	5	0
00-0000	2.A.1.f	Science	58.089631772		All occ	93411.101804	1	All occupations	5	0
00-0000	2.A.1.f	Science	45.0884627		All occ	74697.450321	2	All occupations	5	0
00-0000	2.A.1.f	Science	21.945344525		All occ	93094.099393	3	All occupations	5	0
00-0000	2.A.2.a	Critical Thinking	51.283155993		All occ	27052.647944	0	All occupations	1	0
00-0000	2.A.2.a	Critical Thinking	48.737866597		All occ	19791.826348	1	All occupations	1	0
00-0000	2.A.2.a	Critical Thinking	42.780165934		All occ	19391.296614	2	All occupations	1	0
00-0000	2.A.2.a	Critical Thinking	39.225273147		All occ	21510.884162	3	All occupations	1	0
00-0000	2.A.2.a	Critical Thinking	57.657566618		All occ	30549.696301	0	All occupations	2	0
00-0000	2.A.2.a	Critical Thinking	52.587460996		All occ	31757.701971	1	All occupations	2	0
00-0000	2.A.2.a	Critical Thinking	50.065736159		All occ	29959.240905	2	All occupations	2	0
00-0000	2.A.2.a	Critical Thinking	44.07941031		All occ	26303.421429	3	All occupations	2	0
00-0000	2.A.2.a	Critical Thinking	65.574126278		All occ	52299.43317	0	All occupations	3	0
00-0000	2.A.2.a	Critical Thinking	60.110663883		All occ	41956.235205	1	All occupations	3	0
00-0000	2.A.2.a	Critical Thinking	57.265290814		All occ	39431.497112	2	All occupations	3	0
00-0000	2.A.2.a	Critical Thinking	52.445920808		All occ	36175.223634	3	All occupations	3	0
00-0000	2.A.2.a	Critical Thinking	69.284158386		All occ	71960.136892	0	All occupations	4	0
00-0000	2.A.2.a	Critical Thinking	67.132315824		All occ	83073.606747	1	All occupations	4	0
00-0000	2.A.2.a	Critical Thinking	64.707465507		All occ	65455.330739	2	All occupations	4	0
00-0000	2.A.2.a	Critical Thinking	61.02640847		All occ	57850.106059	3	All occupations	4	0
00-0000	2.A.2.a	Critical Thinking	74.126009797		All occ	114028.5684	0	All occupations	5	0
00-0000	2.A.2.a	Critical Thinking	69.829640254		All occ	93540.271783	1	All occupations	5	0
00-0000	2.A.2.a	Critical Thinking	67.817219665		All occ	69703.901037	2	All occupations	5	0
00-0000	2.A.2.a	Critical Thinking	64.869584711		All occ	72141.004246	3	All occupations	5	0
00-0000	2.A.2.b	Active Learning	43.259911404		All occ	23028.801145	0	All occupations	1	0
00-0000	2.A.2.b	Active Learning	39.916633274		All occ	19647.079597	1	All occupations	1	0
00-0000	2.A.2.b	Active Learning	37.290080976		All occ	20424.438834	2	All occupations	1	0
00-0000	2.A.2.b	Active Learning	29.739617097		All occ	20578.122664	3	All occupations	1	0
00-0000	2.A.2.b	Active Learning	51.132837389		All occ	36781.351446	0	All occupations	2	0
00-0000	2.A.2.b	Active Learning	44.947321011		All occ	26292.180198	1	All occupations	2	0
00-0000	2.A.2.b	Active Learning	40.719737794		All occ	33393.986926	2	All occupations	2	0
00-0000	2.A.2.b	Active Learning	35.022570932		All occ	26928.037815	3	All occupations	2	0
00-0000	2.A.2.b	Active Learning	57.073492893		All occ	46900.986699	0	All occupations	3	0
00-0000	2.A.2.b	Active Learning	52.264062406		All occ	46344.183631	1	All occupations	3	0
00-0000	2.A.2.b	Active Learning	50.236442969		All occ	36158.75216	2	All occupations	3	0
00-0000	2.A.2.b	Active Learning	44.311189712		All occ	40245.362024	3	All occupations	3	0
00-0000	2.A.2.b	Active Learning	64.87147414		All occ	78993.831133	0	All occupations	4	0
00-0000	2.A.2.b	Active Learning	60.876352636		All occ	72036.352596	1	All occupations	4	0
00-0000	2.A.2.b	Active Learning	58.518308243		All occ	74377.043975	2	All occupations	4	0
00-0000	2.A.2.b	Active Learning	53.399494364		All occ	57984.470972	3	All occupations	4	0
00-0000	2.A.2.b	Active Learning	70.372987666		All occ	92855.50479	0	All occupations	5	0
00-0000	2.A.2.b	Active Learning	67.116131225		All occ	103427.29649	1	All occupations	5	0
00-0000	2.A.2.b	Active Learning	64.023518521		All occ	86641.49426	2	All occupations	5	0
00-0000	2.A.2.b	Active Learning	58.635805122		All occ	73173.550427	3	All occupations	5	0
00-0000	2.A.2.c	Learning Strategies	42.842641056		All occ	19720.674495	0	All occupations	1	0
00-0000	2.A.2.c	Learning Strategies	37.945563817		All occ	20649.44581	1	All occupations	1	0
00-0000	2.A.2.c	Learning Strategies	33.286251205		All occ	20680.57579	2	All occupations	1	0
00-0000	2.A.2.c	Learning Strategies	23.441742353		All occ	20192.340382	3	All occupations	1	0
00-0000	2.A.2.c	Learning Strategies	48.781005057		All occ	32315.183643	0	All occupations	2	0
00-0000	2.A.2.c	Learning Strategies	40.253643076		All occ	29067.8802	1	All occupations	2	0
00-0000	2.A.2.c	Learning Strategies	36.715105383		All occ	30709.907338	2	All occupations	2	0
00-0000	2.A.2.c	Learning Strategies	27.449777225		All occ	26526.3197	3	All occupations	2	0
00-0000	2.A.2.c	Learning Strategies	55.825493358		All occ	42864.992264	0	All occupations	3	0
00-0000	2.A.2.c	Learning Strategies	48.834115826		All occ	44585.409738	1	All occupations	3	0
00-0000	2.A.2.c	Learning Strategies	43.648384246		All occ	44304.375947	2	All occupations	3	0
00-0000	2.A.2.c	Learning Strategies	37.940352639		All occ	37360.176045	3	All occupations	3	0
00-0000	2.A.2.c	Learning Strategies	64.264900202		All occ	65028.507618	0	All occupations	4	0
00-0000	2.A.2.c	Learning Strategies	53.103658496		All occ	88144.874054	1	All occupations	4	0
00-0000	2.A.2.c	Learning Strategies	49.882234062		All occ	70601.287642	2	All occupations	4	0
00-0000	2.A.2.c	Learning Strategies	42.826719096		All occ	62356.929793	3	All occupations	4	0
00-0000	2.A.2.c	Learning Strategies	70.892648661		All occ	76762.573071	0	All occupations	5	0
00-0000	2.A.2.c	Learning Strategies	63.812866303		All occ	64986.992352	1	All occupations	5	0
00-0000	2.A.2.c	Learning Strategies	57.246152728		All occ	108216.22949	2	All occupations	5	0
00-0000	2.A.2.c	Learning Strategies	52.719875923		All occ	93975.093558	3	All occupations	5	0
00-0000	2.A.2.d	Monitoring	50.830202386		All occ	20168.197286	0	All occupations	1	0
00-0000	2.A.2.d	Monitoring	48.093177809		All occ	22852.175183	1	All occupations	1	0
00-0000	2.A.2.d	Monitoring	44.050245248		All occ	19281.103916	2	All occupations	1	0
00-0000	2.A.2.d	Monitoring	39.50682386		All occ	21219.127079	3	All occupations	1	0
00-0000	2.A.2.d	Monitoring	58.959791139		All occ	36311.102896	0	All occupations	2	0
00-0000	2.A.2.d	Monitoring	52.010159059		All occ	28448.584785	1	All occupations	2	0
00-0000	2.A.2.d	Monitoring	49.169584001		All occ	30428.634612	2	All occupations	2	0
00-0000	2.A.2.d	Monitoring	43.08482134		All occ	27030.045203	3	All occupations	2	0
00-0000	2.A.2.d	Monitoring	64.301986592		All occ	44747.702736	0	All occupations	3	0
00-0000	2.A.2.d	Monitoring	55.96091436		All occ	47410.295994	1	All occupations	3	0
00-0000	2.A.2.d	Monitoring	52.496680781		All occ	37573.287256	2	All occupations	3	0
00-0000	2.A.2.d	Monitoring	49.206658377		All occ	38481.499342	3	All occupations	3	0
00-0000	2.A.2.d	Monitoring	67.612768393		All occ	79263.92805	0	All occupations	4	0
00-0000	2.A.2.d	Monitoring	62.155643313		All occ	64797.148433	1	All occupations	4	0
00-0000	2.A.2.d	Monitoring	58.60535522		All occ	70214.20631	2	All occupations	4	0
00-0000	2.A.2.d	Monitoring	53.070621703		All occ	62692.712972	3	All occupations	4	0
00-0000	2.A.2.d	Monitoring	68.658910788		All occ	102752.48542	0	All occupations	5	0
00-0000	2.A.2.d	Monitoring	65.270306237		All occ	80195.068003	1	All occupations	5	0
00-0000	2.A.2.d	Monitoring	62.272882963		All occ	78761.382706	2	All occupations	5	0
00-0000	2.A.2.d	Monitoring	57.873986592		All occ	86337.539746	3	All occupations	5	0
00-0000	2.B.1.a	Social Perceptiveness	48.835807191		All occ	19808.309164	0	All occupations	1	0
00-0000	2.B.1.a	Social Perceptiveness	45.734349394		All occ	19311.207241	1	All occupations	1	0
00-0000	2.B.1.a	Social Perceptiveness	41.98728522		All occ	21251.188112	2	All occupations	1	0
00-0000	2.B.1.a	Social Perceptiveness	37.691097521		All occ	23089.540664	3	All occupations	1	0
00-0000	2.B.1.a	Social Perceptiveness	55.036706657		All occ	28095.711759	0	All occupations	2	0
00-0000	2.B.1.a	Social Perceptiveness	47.179660765		All occ	35138.735244	1	All occupations	2	0
00-0000	2.B.1.a	Social Perceptiveness	43.826904466		All occ	30339.592033	2	All occupations	2	0
00-0000	2.B.1.a	Social Perceptiveness	39.243078253		All occ	27709.599214	3	All occupations	2	0
00-0000	2.B.1.a	Social Perceptiveness	62.035152367		All occ	43999.732625	0	All occupations	3	0
00-0000	2.B.1.a	Social Perceptiveness	53.068933064		All occ	39799.308974	1	All occupations	3	0
00-0000	2.B.1.a	Social Perceptiveness	49.284622307		All occ	42736.14206	2	All occupations	3	0
00-0000	2.B.1.a	Social Perceptiveness	44.26659989		All occ	42471.001205	3	All occupations	3	0
00-0000	2.B.1.a	Social Perceptiveness	68.588643786		All occ	70031.308544	0	All occupations	4	0
00-0000	2.B.1.a	Social Perceptiveness	60.348537636		All occ	68705.743652	1	All occupations	4	0
00-0000	2.B.1.a	Social Perceptiveness	53.744261221		All occ	69634.046252	2	All occupations	4	0
00-0000	2.B.1.a	Social Perceptiveness	50.027917306		All occ	77810.692125	3	All occupations	4	0
00-0000	2.B.1.a	Social Perceptiveness	71.893845575		All occ	86325.634184	0	All occupations	5	0
00-0000	2.B.1.a	Social Perceptiveness	62.506314303		All occ	105586.9055	1	All occupations	5	0
00-0000	2.B.1.a	Social Perceptiveness	56.900764074		All occ	82461.493702	2	All occupations	5	0
00-0000	2.B.1.a	Social Perceptiveness	52.944446981		All occ	68962.781524	3	All occupations	5	0
00-0000	2.B.1.b	Coordination	51.178794577		All occ	19700.639577	0	All occupations	1	0
00-0000	2.B.1.b	Coordination	48.309115614		All occ	21194.064048	1	All occupations	1	0
00-0000	2.B.1.b	Coordination	44.074962103		All occ	20661.259218	2	All occupations	1	0
00-0000	2.B.1.b	Coordination	40.542684267		All occ	20265.336649	3	All occupations	1	0
00-0000	2.B.1.b	Coordination	55.532696562		All occ	30417.426576	0	All occupations	2	0
00-0000	2.B.1.b	Coordination	50.348689385		All occ	29256.409562	1	All occupations	2	0
00-0000	2.B.1.b	Coordination	47.417307564		All occ	28034.577993	2	All occupations	2	0
00-0000	2.B.1.b	Coordination	41.349040505		All occ	29686.519315	3	All occupations	2	0
00-0000	2.B.1.b	Coordination	61.830723335		All occ	48340.113876	0	All occupations	3	0
00-0000	2.B.1.b	Coordination	53.178877345		All occ	40526.820816	1	All occupations	3	0
00-0000	2.B.1.b	Coordination	50.867136934		All occ	39806.988228	2	All occupations	3	0
00-0000	2.B.1.b	Coordination	46.32543481		All occ	38575.063263	3	All occupations	3	0
00-0000	2.B.1.b	Coordination	65.659140424		All occ	78367.271287	0	All occupations	4	0
00-0000	2.B.1.b	Coordination	59.963601556		All occ	63640.152845	1	All occupations	4	0
00-0000	2.B.1.b	Coordination	55.599630299		All occ	70628.8337	2	All occupations	4	0
00-0000	2.B.1.b	Coordination	50.902713951		All occ	67106.524533	3	All occupations	4	0
00-0000	2.B.1.b	Coordination	63.877780515		All occ	98934.733102	0	All occupations	5	0
00-0000	2.B.1.b	Coordination	57.892945561		All occ	86311.030566	1	All occupations	5	0
00-0000	2.B.1.b	Coordination	54.515033976		All occ	80522.310203	2	All occupations	5	0
00-0000	2.B.1.b	Coordination	50.484589856		All occ	66329.970505	3	All occupations	5	0
00-0000	2.B.1.c	Persuasion	44.142787314		All occ	20037.399894	0	All occupations	1	0
00-0000	2.B.1.c	Persuasion	39.337515482		All occ	19461.983696	1	All occupations	1	0
00-0000	2.B.1.c	Persuasion	35.254994708		All occ	20929.824878	2	All occupations	1	0
00-0000	2.B.1.c	Persuasion	29.214826681		All occ	22407.445402	3	All occupations	1	0
00-0000	2.B.1.c	Persuasion	55.042039666		All occ	28542.103715	0	All occupations	2	0
00-0000	2.B.1.c	Persuasion	39.978488245		All occ	29967.298224	1	All occupations	2	0
00-0000	2.B.1.c	Persuasion	35.722710941		All occ	32991.440258	2	All occupations	2	0
00-0000	2.B.1.c	Persuasion	31.20484619		All occ	26381.233988	3	All occupations	2	0
00-0000	2.B.1.c	Persuasion	56.66808123		All occ	46651.516455	0	All occupations	3	0
00-0000	2.B.1.c	Persuasion	48.106926349		All occ	40487.395815	1	All occupations	3	0
00-0000	2.B.1.c	Persuasion	43.788258146		All occ	42995.887216	2	All occupations	3	0
00-0000	2.B.1.c	Persuasion	36.934538227		All occ	37545.232039	3	All occupations	3	0
00-0000	2.B.1.c	Persuasion	62.511819349		All occ	77333.677984	0	All occupations	4	0
00-0000	2.B.1.c	Persuasion	55.908290721		All occ	69855.499352	1	All occupations	4	0
00-0000	2.B.1.c	Persuasion	52.160563456		All occ	68682.503524	2	All occupations	4	0
00-0000	2.B.1.c	Persuasion	47.112824251		All occ	64934.265438	3	All occupations	4	0
00-0000	2.B.1.c	Persuasion	63.459034545		All occ	96535.616746	0	All occupations	5	0
00-0000	2.B.1.c	Persuasion	54.334470907		All occ	87052.662833	1	All occupations	5	0
00-0000	2.B.1.c	Persuasion	50.899829713		All occ	89363.933357	2	All occupations	5	0
00-0000	2.B.1.c	Persuasion	46.453383867		All occ	65402.041483	3	All occupations	5	0
00-0000	2.B.1.d	Negotiation	43.689338163		All occ	21773.457319	0	All occupations	1	0
00-0000	2.B.1.d	Negotiation	37.386640824		All occ	19570.009547	1	All occupations	1	0
00-0000	2.B.1.d	Negotiation	32.430205626		All occ	19412.24454	2	All occupations	1	0
00-0000	2.B.1.d	Negotiation	26.975288845		All occ	22402.310751	3	All occupations	1	0
00-0000	2.B.1.d	Negotiation	52.099228377		All occ	28867.243938	0	All occupations	2	0
00-0000	2.B.1.d	Negotiation	38.381502624		All occ	30983.356703	1	All occupations	2	0
00-0000	2.B.1.d	Negotiation	34.25568495		All occ	29014.544442	2	All occupations	2	0
00-0000	2.B.1.d	Negotiation	28.541924712		All occ	28282.348427	3	All occupations	2	0
00-0000	2.B.1.d	Negotiation	54.891723907		All occ	45787.481659	0	All occupations	3	0
00-0000	2.B.1.d	Negotiation	44.127880961		All occ	43091.544502	1	All occupations	3	0
00-0000	2.B.1.d	Negotiation	40.087574475		All occ	39366.080503	2	All occupations	3	0
00-0000	2.B.1.d	Negotiation	32.7047607		All occ	38740.934882	3	All occupations	3	0
00-0000	2.B.1.d	Negotiation	61.232813335		All occ	76356.979442	0	All occupations	4	0
00-0000	2.B.1.d	Negotiation	52.862287788		All occ	66691.357349	1	All occupations	4	0
00-0000	2.B.1.d	Negotiation	49.113806092		All occ	67523.217254	2	All occupations	4	0
00-0000	2.B.1.d	Negotiation	43.363587586		All occ	71396.833043	3	All occupations	4	0
00-0000	2.B.1.d	Negotiation	59.986358617		All occ	97773.327772	0	All occupations	5	0
00-0000	2.B.1.d	Negotiation	50.275734065		All occ	88265.471972	1	All occupations	5	0
00-0000	2.B.1.d	Negotiation	46.975201974		All occ	83868.539386	2	All occupations	5	0
00-0000	2.B.1.d	Negotiation	40.706926614		All occ	65570.022349	3	All occupations	5	0
00-0000	2.B.1.e	Instructing	44.466921351		All occ	19869.676686	0	All occupations	1	0
00-0000	2.B.1.e	Instructing	39.351174157		All occ	19810.410917	1	All occupations	1	0
00-0000	2.B.1.e	Instructing	33.659615341		All occ	21644.047275	2	All occupations	1	0
00-0000	2.B.1.e	Instructing	27.582836894		All occ	20156.116323	3	All occupations	1	0
00-0000	2.B.1.e	Instructing	49.874690951		All occ	29121.443921	0	All occupations	2	0
00-0000	2.B.1.e	Instructing	43.510243069		All occ	29785.317417	1	All occupations	2	0
00-0000	2.B.1.e	Instructing	38.403341206		All occ	31580.928086	2	All occupations	2	0
00-0000	2.B.1.e	Instructing	29.770861101		All occ	27663.725718	3	All occupations	2	0
00-0000	2.B.1.e	Instructing	56.661587065		All occ	45522.478724	0	All occupations	3	0
00-0000	2.B.1.e	Instructing	50.477472007		All occ	42496.051173	1	All occupations	3	0
00-0000	2.B.1.e	Instructing	45.418566013		All occ	46471.057055	2	All occupations	3	0
00-0000	2.B.1.e	Instructing	38.712388528		All occ	37393.375844	3	All occupations	3	0
00-0000	2.B.1.e	Instructing	63.64647023		All occ	66344.721639	0	All occupations	4	0
00-0000	2.B.1.e	Instructing	54.193332923		All occ	90207.478135	1	All occupations	4	0
00-0000	2.B.1.e	Instructing	51.14244271		All occ	68798.162397	2	All occupations	4	0
00-0000	2.B.1.e	Instructing	46.081573646		All occ	61005.373477	3	All occupations	4	0
00-0000	2.B.1.e	Instructing	72.640322675		All occ	75659.360251	0	All occupations	5	0
00-0000	2.B.1.e	Instructing	64.239249341		All occ	90924.884341	1	All occupations	5	0
00-0000	2.B.1.e	Instructing	57.261376142		All occ	97132.52952	2	All occupations	5	0
00-0000	2.B.1.e	Instructing	53.002888576		All occ	85564.45733	3	All occupations	5	0
