SOCCode	Element_ID	Element_Name	average_scale	TOT_EMP	major_occ	annual_earnings	scale_SOCrank	SOCTitle	jobzone	scale_rank
00-0000	1.C.1.b	Persistence	74.700803122		All occ	29110.89958		All occupations	2	1
00-0000	1.C.1.b	Persistence	69.48174398		All occ	28892.89454		All occupations	2	2
00-0000	1.C.1.b	Persistence	62.70429697		All occ	26791.063442		All occupations	2	3
00-0000	1.C.1.b	Persistence	84.373272592		All occ	46972.843005		All occupations	3	0
00-0000	1.C.1.b	Persistence	79.854905727		All occ	41163.564532		All occupations	3	1
00-0000	1.C.1.b	Persistence	76.860243215		All occ	41108.045247		All occupations	3	2
00-0000	1.C.1.b	Persistence	71.343891747		All occ	41511.628207		All occupations	3	3
00-0000	1.C.1.b	Persistence	88.356025419		All occ	66479.404274		All occupations	4	0
00-0000	1.C.1.b	Persistence	84.379690976		All occ	70871.885932		All occupations	4	1
00-0000	1.C.1.b	Persistence	80.242105397		All occ	79323.346925		All occupations	4	2
00-0000	1.C.1.b	Persistence	74.877158653		All occ	65542.198294		All occupations	4	3
00-0000	1.C.1.b	Persistence	90.292694235		All occ	81940.194618		All occupations	5	0
00-0000	1.C.1.b	Persistence	86.347689098		All occ	104163.64509		All occupations	5	1
00-0000	1.C.1.b	Persistence	83.652474738		All occ	80050.190463		All occupations	5	2
00-0000	1.C.1.b	Persistence	78.649171993		All occ	89901.939422		All occupations	5	3
00-0000	1.C.1.c	Initiative	74.230982248		All occ	23294.196398		All occupations	1	0
00-0000	1.C.1.c	Initiative	70.754090647		All occ	20963.72345		All occupations	1	1
00-0000	1.C.1.c	Initiative	66.38454272		All occ	19664.623529		All occupations	1	2
00-0000	1.C.1.c	Initiative	60.049981415		All occ	19880.976858		All occupations	1	3
00-0000	1.C.1.c	Initiative	82.150207874		All occ	29828.087019		All occupations	2	0
00-0000	1.C.1.c	Initiative	75.813960293		All occ	30240.746524		All occupations	2	1
00-0000	1.C.1.c	Initiative	72.114129064		All occ	28270.998638		All occupations	2	2
00-0000	1.C.1.c	Initiative	66.386193589		All occ	29110.917421		All occupations	2	3
00-0000	1.C.1.c	Initiative	86.525919788		All occ	49342.380918		All occupations	3	0
00-0000	1.C.1.c	Initiative	82.499984625		All occ	41479.444931		All occupations	3	1
00-0000	1.C.1.c	Initiative	79.956383867		All occ	41611.121689		All occupations	3	2
00-0000	1.C.1.c	Initiative	73.358717339		All occ	38567.105788		All occupations	3	3
00-0000	1.C.1.c	Initiative	88.948246365		All occ	66876.681631		All occupations	4	0
00-0000	1.C.1.c	Initiative	86.421734959		All occ	76434.45744		All occupations	4	1
00-0000	1.C.1.c	Initiative	83.541329456		All occ	69706.790086		All occupations	4	2
00-0000	1.C.1.c	Initiative	78.647322602		All occ	69415.09752		All occupations	4	3
00-0000	1.C.1.c	Initiative	92.851144723		All occ	92428.300896		All occupations	5	0
00-0000	1.C.1.c	Initiative	89.162162371		All occ	88281.56449		All occupations	5	1
00-0000	1.C.1.c	Initiative	85.630151141		All occ	88712.153597		All occupations	5	2
00-0000	1.C.1.c	Initiative	79.934628965		All occ	91662.405343		All occupations	5	3
00-0000	1.C.2.b	Leadership	69.050879961		All occ	20633.385494		All occupations	1	0
00-0000	1.C.2.b	Leadership	63.321090513		All occ	21110.576035		All occupations	1	1
00-0000	1.C.2.b	Leadership	58.850485981		All occ	19733.030587		All occupations	1	2
00-0000	1.C.2.b	Leadership	49.321904918		All occ	22164.378265		All occupations	1	3
00-0000	1.C.2.b	Leadership	81.335908451		All occ	36173.09806		All occupations	2	0
00-0000	1.C.2.b	Leadership	69.431027205		All occ	26127.374277		All occupations	2	1
00-0000	1.C.2.b	Leadership	63.64571304		All occ	29510.509405		All occupations	2	2
00-0000	1.C.2.b	Leadership	53.112547105		All occ	28421.718269		All occupations	2	3
00-0000	1.C.2.b	Leadership	83.520647516		All occ	47150.07127		All occupations	3	0
00-0000	1.C.2.b	Leadership	75.083519886		All occ	39920.288061		All occupations	3	1
00-0000	1.C.2.b	Leadership	68.956844567		All occ	40603.67342		All occupations	3	2
00-0000	1.C.2.b	Leadership	63.102552644		All occ	40135.629375		All occupations	3	3
00-0000	1.C.2.b	Leadership	88.949878265		All occ	73688.47726		All occupations	4	0
00-0000	1.C.2.b	Leadership	80.368322925		All occ	71378.224428		All occupations	4	1
00-0000	1.C.2.b	Leadership	75.167367899		All occ	68809.190081		All occupations	4	2
00-0000	1.C.2.b	Leadership	67.461306043		All occ	67568.685289		All occupations	4	3
00-0000	1.C.2.b	Leadership	91.739599815		All occ	93880.840637		All occupations	5	0
00-0000	1.C.2.b	Leadership	82.836173713		All occ	86777.182801		All occupations	5	1
00-0000	1.C.2.b	Leadership	76.951486983		All occ	94154.92134		All occupations	5	2
00-0000	1.C.2.b	Leadership	69.162656859		All occ	76725.276464		All occupations	5	3
00-0000	1.C.3.a	Cooperation	85.758113021		All occ	20562.284691		All occupations	1	0
00-0000	1.C.3.a	Cooperation	82.254078017		All occ	19795.590525		All occupations	1	1
00-0000	1.C.3.a	Cooperation	75.186752838		All occ	22892.169229		All occupations	1	2
00-0000	1.C.3.a	Cooperation	68.186101724		All occ	21612.421759		All occupations	1	3
00-0000	1.C.3.a	Cooperation	88.728730592		All occ	27737.894416		All occupations	2	0
00-0000	1.C.3.a	Cooperation	81.944435526		All occ	32673.404206		All occupations	2	1
00-0000	1.C.3.a	Cooperation	77.468146173		All occ	27896.637408		All occupations	2	2
00-0000	1.C.3.a	Cooperation	71.649028398		All occ	31926.262193		All occupations	2	3
00-0000	1.C.3.a	Cooperation	91.609153553		All occ	39025.292902		All occupations	3	0
00-0000	1.C.3.a	Cooperation	86.03750651		All occ	46202.77577		All occupations	3	1
00-0000	1.C.3.a	Cooperation	81.157195902		All occ	42940.854399		All occupations	3	2
00-0000	1.C.3.a	Cooperation	75.281619136		All occ	42347.692597		All occupations	3	3
00-0000	1.C.3.a	Cooperation	92.311095331		All occ	62082.029795		All occupations	4	0
00-0000	1.C.3.a	Cooperation	86.529169305		All occ	66334.053398		All occupations	4	1
00-0000	1.C.3.a	Cooperation	82.623737497		All occ	78881.551706		All occupations	4	2
00-0000	1.C.3.a	Cooperation	78.390829212		All occ	81051.18138		All occupations	4	3
00-0000	1.C.3.a	Cooperation	92.143596303		All occ	73153.082836		All occupations	5	0
00-0000	1.C.3.a	Cooperation	87.969438575		All occ	102183.46284		All occupations	5	1
00-0000	1.C.3.a	Cooperation	83.349679837		All occ	109868.54413		All occupations	5	2
00-0000	1.C.3.a	Cooperation	75.038598543		All occ	68828.452893		All occupations	5	3
00-0000	1.C.3.b	Concern for Others	79.202798006		All occ	19761.573092		All occupations	1	0
00-0000	1.C.3.b	Concern for Others	74.970546978		All occ	22447.247738		All occupations	1	1
00-0000	1.C.3.b	Concern for Others	70.158933555		All occ	19658.197653		All occupations	1	2
00-0000	1.C.3.b	Concern for Others	61.114082574		All occ	20603.167832		All occupations	1	3
00-0000	1.C.3.b	Concern for Others	84.634001539		All occ	28341.165164		All occupations	2	0
00-0000	1.C.3.b	Concern for Others	75.870476493		All occ	28796.616443		All occupations	2	1
00-0000	1.C.3.b	Concern for Others	70.621429029		All occ	32767.249954		All occupations	2	2
00-0000	1.C.3.b	Concern for Others	61.629404796		All occ	27718.370938		All occupations	2	3
00-0000	1.C.3.b	Concern for Others	89.369736845		All occ	37124.93558		All occupations	3	0
00-0000	1.C.3.b	Concern for Others	80.471101831		All occ	50216.79918		All occupations	3	1
00-0000	1.C.3.b	Concern for Others	73.678578769		All occ	46475.435618		All occupations	3	2
00-0000	1.C.3.b	Concern for Others	66.111995055		All occ	42920.956001		All occupations	3	3
00-0000	1.C.3.b	Concern for Others	91.559027065		All occ	58172.676237		All occupations	4	0
00-0000	1.C.3.b	Concern for Others	78.116760735		All occ	84934.216898		All occupations	4	1
00-0000	1.C.3.b	Concern for Others	69.160734234		All occ	73988.884872		All occupations	4	2
00-0000	1.C.3.b	Concern for Others	60.936801494		All occ	73621.893865		All occupations	4	3
00-0000	1.C.3.b	Concern for Others	95.971358968		All occ	75424.66233		All occupations	5	0
00-0000	1.C.3.b	Concern for Others	88.068386748		All occ	90874.792198		All occupations	5	1
00-0000	1.C.3.b	Concern for Others	76.763679694		All occ	107734.7398		All occupations	5	2
00-0000	1.C.3.b	Concern for Others	65.786566534		All occ	90844.798989		All occupations	5	3
00-0000	1.C.3.c	Social Orientation	77.526497169		All occ	19836.185793		All occupations	1	0
00-0000	1.C.3.c	Social Orientation	68.230479296		All occ	20043.52089		All occupations	1	1
00-0000	1.C.3.c	Social Orientation	60.570989428		All occ	24212.66975		All occupations	1	2
00-0000	1.C.3.c	Social Orientation	54.586850951		All occ	21382.652691		All occupations	1	3
00-0000	1.C.3.c	Social Orientation	79.598640852		All occ	26546.342767		All occupations	2	0
00-0000	1.C.3.c	Social Orientation	68.307891351		All occ	33254.757997		All occupations	2	1
00-0000	1.C.3.c	Social Orientation	62.070551918		All occ	28497.435531		All occupations	2	2
00-0000	1.C.3.c	Social Orientation	54.680533034		All occ	34207.019821		All occupations	2	3
00-0000	1.C.3.c	Social Orientation	82.981872891		All occ	38340.40073		All occupations	3	0
00-0000	1.C.3.c	Social Orientation	73.685774955		All occ	47376.333098		All occupations	3	1
00-0000	1.C.3.c	Social Orientation	64.811558382		All occ	48334.772772		All occupations	3	2
00-0000	1.C.3.c	Social Orientation	57.55691441		All occ	41692.578053		All occupations	3	3
00-0000	1.C.3.c	Social Orientation	85.683624187		All occ	56939.295139		All occupations	4	0
00-0000	1.C.3.c	Social Orientation	71.662635654		All occ	79091.243557		All occupations	4	1
00-0000	1.C.3.c	Social Orientation	62.016029627		All occ	75935.382444		All occupations	4	2
00-0000	1.C.3.c	Social Orientation	54.256079458		All occ	78333.053583		All occupations	4	3
00-0000	1.C.3.c	Social Orientation	87.447898241		All occ	76165.871004		All occupations	5	0
00-0000	1.C.3.c	Social Orientation	77.987029346		All occ	86727.848386		All occupations	5	1
00-0000	1.C.3.c	Social Orientation	68.35076347		All occ	114154.90097		All occupations	5	2
00-0000	1.C.3.c	Social Orientation	57.963306832		All occ	71571.378106		All occupations	5	3
00-0000	1.C.4.a	Self Control	85.536742865		All occ	19802.488621		All occupations	1	0
00-0000	1.C.4.a	Self Control	78.895119634		All occ	20121.026465		All occupations	1	1
00-0000	1.C.4.a	Self Control	70.722912107		All occ	21984.517628		All occupations	1	2
00-0000	1.C.4.a	Self Control	66.544565822		All occ	22118.867835		All occupations	1	3
00-0000	1.C.4.a	Self Control	89.147692837		All occ	27196.280482		All occupations	2	0
00-0000	1.C.4.a	Self Control	81.279221709		All occ	32743.613805		All occupations	2	1
00-0000	1.C.4.a	Self Control	76.104343388		All occ	30084.92963		All occupations	2	2
00-0000	1.C.4.a	Self Control	70.242045125		All occ	29412.190982		All occupations	2	3
00-0000	1.C.4.a	Self Control	91.461875239		All occ	37120.310661		All occupations	3	0
00-0000	1.C.4.a	Self Control	85.665737404		All occ	45497.650245		All occupations	3	1
00-0000	1.C.4.a	Self Control	79.518133563		All occ	45949.773194		All occupations	3	2
00-0000	1.C.4.a	Self Control	72.45604699		All occ	42909.407958		All occupations	3	3
00-0000	1.C.4.a	Self Control	92.277885098		All occ	58814.598284		All occupations	4	0
00-0000	1.C.4.a	Self Control	84.13563754		All occ	76269.456547		All occupations	4	1
00-0000	1.C.4.a	Self Control	78.943270161		All occ	78213.885123		All occupations	4	2
00-0000	1.C.4.a	Self Control	70.469600139		All occ	75086.391422		All occupations	4	3
00-0000	1.C.4.a	Self Control	92.792676819		All occ	75683.911425		All occupations	5	0
00-0000	1.C.4.a	Self Control	87.446574122		All occ	104838.69053		All occupations	5	1
00-0000	1.C.4.a	Self Control	80.949056392		All occ	95306.11076		All occupations	5	2
00-0000	1.C.4.a	Self Control	69.280678792		All occ	70736.384427		All occupations	5	3
00-0000	1.C.4.b	Stress Tolerance	80.514243185		All occ	19539.612813		All occupations	1	0
00-0000	1.C.4.b	Stress Tolerance	74.773768268		All occ	21439.477778		All occupations	1	1
00-0000	1.C.4.b	Stress Tolerance	68.736994519		All occ	21846.468182		All occupations	1	2
00-0000	1.C.4.b	Stress Tolerance	61.296630303		All occ	21510.040764		All occupations	1	3
00-0000	1.C.4.b	Stress Tolerance	87.628841568		All occ	29186.019598		All occupations	2	0
00-0000	1.C.4.b	Stress Tolerance	78.491346272		All occ	29565.408332		All occupations	2	1
00-0000	1.C.4.b	Stress Tolerance	73.310649066		All occ	30454.840815		All occupations	2	2
00-0000	1.C.4.b	Stress Tolerance	66.956473689		All occ	27946.436632		All occupations	2	3
00-0000	1.C.4.b	Stress Tolerance	90.365711459		All occ	40627.777273		All occupations	3	0
00-0000	1.C.4.b	Stress Tolerance	85.096958806		All occ	42733.948648		All occupations	3	1
00-0000	1.C.4.b	Stress Tolerance	79.739100512		All occ	44802.785092		All occupations	3	2
00-0000	1.C.4.b	Stress Tolerance	70.603935082		All occ	41081.222995		All occupations	3	3
00-0000	1.C.4.b	Stress Tolerance	91.906396571		All occ	63157.663172		All occupations	4	0
00-0000	1.C.4.b	Stress Tolerance	85.433846625		All occ	74180.88892		All occupations	4	1
00-0000	1.C.4.b	Stress Tolerance	80.542135182		All occ	72544.909958		All occupations	4	2
00-0000	1.C.4.b	Stress Tolerance	72.686919581		All occ	79889.255044		All occupations	4	3
00-0000	1.C.4.b	Stress Tolerance	91.749724203		All occ	96173.863293		All occupations	5	0
00-0000	1.C.4.b	Stress Tolerance	84.416850925		All occ	95215.242991		All occupations	5	1
00-0000	1.C.4.b	Stress Tolerance	77.776868767		All occ	71108.186454		All occupations	5	2
00-0000	1.C.4.b	Stress Tolerance	71.362532346		All occ	77550.065552		All occupations	5	3
00-0000	1.C.4.c	Adaptability/Flexibility	76.197742013		All occ	23405.634586		All occupations	1	0
00-0000	1.C.4.c	Adaptability/Flexibility	72.75286615		All occ	19818.57031		All occupations	1	1
00-0000	1.C.4.c	Adaptability/Flexibility	68.071832894		All occ	19769.713067		All occupations	1	2
00-0000	1.C.4.c	Adaptability/Flexibility	58.698682102		All occ	20595.408608		All occupations	1	3
00-0000	1.C.4.c	Adaptability/Flexibility	82.364250006		All occ	27695.762692		All occupations	2	0
00-0000	1.C.4.c	Adaptability/Flexibility	76.439923199		All occ	34846.879292		All occupations	2	1
00-0000	1.C.4.c	Adaptability/Flexibility	73.191162327		All occ	28685.027625		All occupations	2	2
00-0000	1.C.4.c	Adaptability/Flexibility	66.912440735		All occ	28837.024291		All occupations	2	3
00-0000	1.C.4.c	Adaptability/Flexibility	87.447360219		All occ	36225.253087		All occupations	3	0
00-0000	1.C.4.c	Adaptability/Flexibility	83.608500679		All occ	44731.588374		All occupations	3	1
00-0000	1.C.4.c	Adaptability/Flexibility	79.3634947		All occ	49123.318082		All occupations	3	2
00-0000	1.C.4.c	Adaptability/Flexibility	72.38072805		All occ	40479.31286		All occupations	3	3
00-0000	1.C.4.c	Adaptability/Flexibility	91.367467991		All occ	65254.575763		All occupations	4	0
00-0000	1.C.4.c	Adaptability/Flexibility	85.079855219		All occ	69068.619434		All occupations	4	1
00-0000	1.C.4.c	Adaptability/Flexibility	80.878395422		All occ	78679.28323		All occupations	4	2
00-0000	1.C.4.c	Adaptability/Flexibility	75.309334909		All occ	72700.62907		All occupations	4	3
00-0000	1.C.4.c	Adaptability/Flexibility	90.007587577		All occ	75045.754706		All occupations	5	0
00-0000	1.C.4.c	Adaptability/Flexibility	84.868904574		All occ	108389.4953		All occupations	5	1
00-0000	1.C.4.c	Adaptability/Flexibility	80.845626801		All occ	94789.756147		All occupations	5	2
00-0000	1.C.4.c	Adaptability/Flexibility	73.211087986		All occ	70982.331888		All occupations	5	3
00-0000	1.C.5.a	Dependability	89.463895023		All occ	20059.707498		All occupations	1	0
00-0000	1.C.5.a	Dependability	84.747545986		All occ	20472.692439		All occupations	1	1
00-0000	1.C.5.a	Dependability	80.500765275		All occ	20472.477929		All occupations	1	2
00-0000	1.C.5.a	Dependability	75.490146047		All occ	20213.235161		All occupations	1	3
00-0000	1.C.5.a	Dependability	92.889076463		All occ	31008.365888		All occupations	2	0
00-0000	1.C.5.a	Dependability	88.753359526		All occ	28146.301186		All occupations	2	1
00-0000	1.C.5.a	Dependability	84.037983239		All occ	29759.686827		All occupations	2	2
00-0000	1.C.5.a	Dependability	77.90654451		All occ	28490.2178		All occupations	2	3
00-0000	1.C.5.a	Dependability	95.351167976		All occ	40683.17207		All occupations	3	0
00-0000	1.C.5.a	Dependability	91.733445202		All occ	40708.068793		All occupations	3	1
00-0000	1.C.5.a	Dependability	88.204322332		All occ	46546.741756		All occupations	3	2
00-0000	1.C.5.a	Dependability	82.570346514		All occ	41453.44759		All occupations	3	3
00-0000	1.C.5.a	Dependability	94.492128691		All occ	63263.512597		All occupations	4	0
00-0000	1.C.5.a	Dependability	91.172866485		All occ	71940.806767		All occupations	4	1
00-0000	1.C.5.a	Dependability	88.245752719		All occ	73198.833683		All occupations	4	2
00-0000	1.C.5.a	Dependability	84.332560504		All occ	82583.009714		All occupations	4	3
00-0000	1.C.5.a	Dependability	95.894464773		All occ	84049.064929		All occupations	5	0
00-0000	1.C.5.a	Dependability	92.988934609		All occ	93953.775842		All occupations	5	1
00-0000	1.C.5.a	Dependability	88.677428637		All occ	102514.42783		All occupations	5	2
00-0000	1.C.5.a	Dependability	83.818054598		All occ	66973.814295		All occupations	5	3
00-0000	1.C.5.b	Attention to Detail	84.507400663		All occ	23081.89578		All occupations	1	0
00-0000	1.C.5.b	Attention to Detail	80.619186946		All occ	20209.563751		All occupations	1	1
00-0000	1.C.5.b	Attention to Detail	76.545119919		All occ	20151.771059		All occupations	1	2
00-0000	1.C.5.b	Attention to Detail	70.96102225		All occ	19176.926145		All occupations	1	3
00-0000	1.C.5.b	Attention to Detail	91.167646398		All occ	31528.173338		All occupations	2	0
00-0000	1.C.5.b	Attention to Detail	87.440418356		All occ	29437.336416		All occupations	2	1
00-0000	1.C.5.b	Attention to Detail	83.555860999		All occ	28531.489509		All occupations	2	2
00-0000	1.C.5.b	Attention to Detail	76.804760126		All occ	28311.534476		All occupations	2	3
00-0000	1.C.5.b	Attention to Detail	95.016646201		All occ	37512.100032		All occupations	3	0
00-0000	1.C.5.b	Attention to Detail	92.011714512		All occ	45234.634613		All occupations	3	1
00-0000	1.C.5.b	Attention to Detail	88.632002556		All occ	45273.917396		All occupations	3	2
00-0000	1.C.5.b	Attention to Detail	83.226439916		All occ	40453.674753		All occupations	3	3
00-0000	1.C.5.b	Attention to Detail	94.539235808		All occ	65669.531683		All occupations	4	0
00-0000	1.C.5.b	Attention to Detail	91.68949276		All occ	69231.915218		All occupations	4	1
00-0000	1.C.5.b	Attention to Detail	88.153189287		All occ	78016.553376		All occupations	4	2
00-0000	1.C.5.b	Attention to Detail	84.211921601		All occ	71649.468927		All occupations	4	3
00-0000	1.C.5.b	Attention to Detail	94.569934919		All occ	110850.37031		All occupations	5	0
00-0000	1.C.5.b	Attention to Detail	90.328294383		All occ	83304.233244		All occupations	5	1
00-0000	1.C.5.b	Attention to Detail	86.865658502		All occ	82189.70591		All occupations	5	2
00-0000	1.C.5.b	Attention to Detail	83.101271235		All occ	74265.704036		All occupations	5	3
00-0000	1.C.5.c	Integrity	87.178843352		All occ	20575.524956		All occupations	1	0
00-0000	1.C.5.c	Integrity	75.858897379		All occ	20235.019509		All occupations	1	1
00-0000	1.C.5.c	Integrity	72.918471903		All occ	19630.017978		All occupations	1	2
00-0000	1.C.5.c	Integrity	65.857472639		All occ	21228.326917		All occupations	1	3
00-0000	1.C.5.c	Integrity	89.682233069		All occ	28001.368245		All occupations	2	0
00-0000	1.C.5.c	Integrity	83.384141577		All occ	32758.730781		All occupations	2	1
00-0000	1.C.5.c	Integrity	77.521821389		All occ	29013.259848		All occupations	2	2
00-0000	1.C.5.c	Integrity	69.233545802		All occ	29023.123166		All occupations	2	3
00-0000	1.C.5.c	Integrity	94.564545288		All occ	42080.631124		All occupations	3	0
00-0000	1.C.5.c	Integrity	91.055328138		All occ	39948.932939		All occupations	3	1
00-0000	1.C.5.c	Integrity	84.314885444		All occ	44404.273308		All occupations	3	2
00-0000	1.C.5.c	Integrity	76.298825413		All occ	45999.649576		All occupations	3	3
00-0000	1.C.5.c	Integrity	96.206913129		All occ	65044.018243		All occupations	4	0
00-0000	1.C.5.c	Integrity	93.124313417		All occ	72013.629892		All occupations	4	1
00-0000	1.C.5.c	Integrity	89.75988052		All occ	64832.314832		All occupations	4	2
00-0000	1.C.5.c	Integrity	82.448931371		All occ	84698.254756		All occupations	4	3
00-0000	1.C.5.c	Integrity	97.884177972		All occ	84830.739454		All occupations	5	0
00-0000	1.C.5.c	Integrity	95.256477422		All occ	100883.58505		All occupations	5	1
00-0000	1.C.5.c	Integrity	91.992714338		All occ	86955.974893		All occupations	5	2
00-0000	1.C.5.c	Integrity	87.974777457		All occ	82014.635055		All occupations	5	3
00-0000	1.C.6	Independence	80.594662882		All occ	22517.018418		All occupations	1	0
00-0000	1.C.6	Independence	73.361790933		All occ	20668.824273		All occupations	1	1
00-0000	1.C.6	Independence	67.828442026		All occ	20692.164688		All occupations	1	2
00-0000	1.C.6	Independence	57.459180751		All occ	19669.319276		All occupations	1	3
00-0000	1.C.6	Independence	82.37088232		All occ	27540.018105		All occupations	2	0
00-0000	1.C.6	Independence	78.198554866		All occ	27994.799017		All occupations	2	1
00-0000	1.C.6	Independence	72.440919067		All occ	35878.002283		All occupations	2	2
00-0000	1.C.6	Independence	63.540850714		All occ	27588.083622		All occupations	2	3
00-0000	1.C.6	Independence	87.261805759		All occ	37440.247768		All occupations	3	0
00-0000	1.C.6	Independence	81.800406778		All occ	43849.897981		All occupations	3	1
00-0000	1.C.6	Independence	76.857510216		All occ	44570.265944		All occupations	3	2
00-0000	1.C.6	Independence	71.903555612		All occ	45729.761351		All occupations	3	3
00-0000	1.C.6	Independence	85.374541241		All occ	61640.348424		All occupations	4	0
00-0000	1.C.6	Independence	80.822549928		All occ	72235.238561		All occupations	4	1
00-0000	1.C.6	Independence	76.904795146		All occ	78629.048943		All occupations	4	2
00-0000	1.C.6	Independence	70.628408641		All occ	75966.653678		All occupations	4	3
00-0000	1.C.6	Independence	92.783948324		All occ	81955.812114		All occupations	5	0
00-0000	1.C.6	Independence	87.485346273		All occ	94840.261906		All occupations	5	1
00-0000	1.C.6	Independence	83.591849		All occ	77160.702531		All occupations	5	2
00-0000	1.C.6	Independence	77.243393543		All occ	99019.685237		All occupations	5	3
00-0000	1.C.7.a	Innovation	68.250464974		All occ	24681.316433		All occupations	1	0
00-0000	1.C.7.a	Innovation	60.187528024		All occ	22259.8478		All occupations	1	1
00-0000	1.C.7.a	Innovation	55.296852432		All occ	20287.177756		All occupations	1	2
00-0000	1.C.7.a	Innovation	49.699573822		All occ	19299.982868		All occupations	1	3
00-0000	1.C.7.a	Innovation	74.010690768		All occ	28822.599833		All occupations	2	0
00-0000	1.C.7.a	Innovation	67.303054155		All occ	31139.613131		All occupations	2	1
00-0000	1.C.7.a	Innovation	61.741580686		All occ	31603.993208		All occupations	2	2
00-0000	1.C.7.a	Innovation	52.541073739		All occ	26979.551125		All occupations	2	3
00-0000	1.C.7.a	Innovation	80.20816401		All occ	36879.592011		All occupations	3	0
00-0000	1.C.7.a	Innovation	73.373326325		All occ	44717.648333		All occupations	3	1
00-0000	1.C.7.a	Innovation	70.27427133		All occ	43023.331262		All occupations	3	2
00-0000	1.C.7.a	Innovation	63.933272811		All occ	42383.252253		All occupations	3	3
00-0000	1.C.7.a	Innovation	83.875460184		All occ	70799.090607		All occupations	4	0
00-0000	1.C.7.a	Innovation	77.639575537		All occ	69459.125844		All occupations	4	1
00-0000	1.C.7.a	Innovation	71.921740757		All occ	77213.437603		All occupations	4	2
00-0000	1.C.7.a	Innovation	66.425822655		All occ	64817.792892		All occupations	4	3
00-0000	1.C.7.a	Innovation	87.01225325		All occ	94274.888342		All occupations	5	0
00-0000	1.C.7.a	Innovation	81.379091648		All occ	79492.935478		All occupations	5	1
00-0000	1.C.7.a	Innovation	77.068303728		All occ	86470.918054		All occupations	5	2
00-0000	1.C.7.a	Innovation	66.813504778		All occ	100020.80362		All occupations	5	3
00-0000	1.C.7.b	Analytical Thinking	64.975299303		All occ	25599.059464		All occupations	1	0
00-0000	1.C.7.b	Analytical Thinking	58.10272527		All occ	19944.460516		All occupations	1	1
00-0000	1.C.7.b	Analytical Thinking	53.625415596		All occ	20005.587516		All occupations	1	2
00-0000	1.C.7.b	Analytical Thinking	46.49981053		All occ	19535.867854		All occupations	1	3
00-0000	1.C.7.b	Analytical Thinking	76.403497776		All occ	35981.062738		All occupations	2	0
00-0000	1.C.7.b	Analytical Thinking	69.851708742		All occ	27624.553387		All occupations	2	1
00-0000	1.C.7.b	Analytical Thinking	63.903839985		All occ	29972.238733		All occupations	2	2
00-0000	1.C.7.b	Analytical Thinking	55.167843611		All occ	26844.914778		All occupations	2	3
00-0000	1.C.7.b	Analytical Thinking	84.315623484		All occ	49772.310303		All occupations	3	0
00-0000	1.C.7.b	Analytical Thinking	78.64159029		All occ	44108.250809		All occupations	3	1
00-0000	1.C.7.b	Analytical Thinking	73.375889828		All occ	36765.243617		All occupations	3	2
